# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_exon_variant	variants_effect_protein_protein_contact	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AK2	ENSG00000004455	ENST00000373449	protein_coding	1	9	2	22	8	0	1	0	0	6	2	0	1	9	0	0	0	0	0	0	0	7
AK2	ENSG00000004455	ENST00000466029	retained_intron	0	0	0	15	0	0	0	9	0	3	0	1	0	0	0	0	0	0	0	0	0	2
AK2	ENSG00000004455	ENST00000467905	protein_coding	0	0	2	22	2	0	2	6	0	6	2	0	0	0	0	0	0	0	0	0	0	6
AK2	ENSG00000004455	ENST00000469238	retained_intron	0	0	0	15	0	0	0	9	0	2	0	2	0	0	0	0	0	0	0	0	0	2
AK2	ENSG00000004455	ENST00000480134	protein_coding	0	0	1	23	0	0	1	9	0	6	1	0	0	0	0	0	0	0	0	0	0	7
AK2	ENSG00000004455	ENST00000482191	retained_intron	0	0	0	11	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	2
AK2	ENSG00000004455	ENST00000487289	protein_coding	0	0	2	11	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	8
AK2	ENSG00000004455	ENST00000491241	processed_transcript	0	0	0	11	0	0	0	1	0	1	0	7	0	0	0	0	0	0	0	0	0	2
AK2	ENSG00000004455	ENST00000548033	protein_coding	0	0	2	22	8	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	8
AK2	ENSG00000004455	ENST00000548559	processed_transcript	0	0	0	13	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	0	0	0
AK2	ENSG00000004455	ENST00000550338	nonsense_mediated_decay	0	1	1	23	1	1	3	9	0	5	1	0	0	0	0	0	0	0	0	0	0	5
AK2	ENSG00000004455	ENST00000551979	retained_intron	0	0	0	13	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	7
AKR1D1P1	ENSG00000227776	ENST00000457236	processed_pseudogene	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
AL122127.1	ENSG00000263751	ENST00000581354	miRNA	0	0	0	18	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL122127.2	ENSG00000265517	ENST00000581918	miRNA	0	0	0	18	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL122127.3	ENSG00000265714	ENST00000580379	miRNA	0	0	0	16	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL122127.4	ENSG00000266408	ENST00000581720	miRNA	0	0	0	18	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL122127.5	ENSG00000266706	ENST00000582202	miRNA	0	0	0	18	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP000344.4	ENSG00000227755	ENST00000426024	transcribed_processed_pseudogene	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP000344.4	ENSG00000227755	ENST00000454268	processed_transcript	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP000344.4	ENSG00000227755	ENST00000457193	processed_transcript	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP000345.1	ENSG00000178248	ENST00000320372	lincRNA	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AP001925.1	ENSG00000269042	ENST00000596081	protein_coding	0	0	0	15	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ARHGEF39	ENSG00000137135	ENST00000343259	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF39	ENSG00000137135	ENST00000378387	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF39	ENSG00000137135	ENST00000378395	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF39	ENSG00000137135	ENST00000468876	processed_transcript	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF39	ENSG00000137135	ENST00000475323	nonsense_mediated_decay	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF39	ENSG00000137135	ENST00000488918	processed_transcript	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF39	ENSG00000137135	ENST00000490638	nonsense_mediated_decay	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF39	ENSG00000137135	ENST00000490970	processed_transcript	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATM	ENSG00000149311	ENST00000278616	protein_coding	10	29	41	100	3	0	1	0	0	101	41	0	0	0	2	4	9	4	0	0	24	6
ATM	ENSG00000149311	ENST00000419286	processed_transcript	0	2	0	4	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	3
ATM	ENSG00000149311	ENST00000452508	protein_coding	10	29	41	100	3	0	0	0	0	101	41	0	0	0	2	4	9	4	0	0	24	7
ATM	ENSG00000149311	ENST00000524792	retained_intron	2	2	0	110	0	0	0	0	0	62	0	48	0	0	1	1	2	0	0	0	0	4
ATM	ENSG00000149311	ENST00000525012	processed_transcript	0	0	0	26	0	0	0	11	0	0	0	2	0	0	0	0	0	0	0	0	0	13
ATM	ENSG00000149311	ENST00000525056	retained_intron	0	0	0	27	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	16
ATM	ENSG00000149311	ENST00000525178	processed_transcript	0	0	0	24	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	4
ATM	ENSG00000149311	ENST00000525537	retained_intron	0	0	0	26	0	0	0	13	0	4	0	2	0	0	0	0	0	0	0	0	0	7
ATM	ENSG00000149311	ENST00000526567	retained_intron	1	0	0	24	0	0	0	2	0	4	0	6	0	0	0	1	0	0	0	0	0	13
ATM	ENSG00000149311	ENST00000527181	retained_intron	0	0	0	17	0	0	0	0	0	6	0	10	0	0	0	0	0	0	0	0	0	1
ATM	ENSG00000149311	ENST00000527389	retained_intron	0	0	0	26	0	0	0	13	0	4	0	2	0	0	0	0	0	0	0	0	0	7
ATM	ENSG00000149311	ENST00000527805	protein_coding	5	14	14	50	0	0	3	13	0	39	14	0	0	0	1	3	7	1	0	0	9	4
ATM	ENSG00000149311	ENST00000527891	protein_coding	2	4	3	21	0	0	0	2	0	16	3	0	0	0	0	2	2	0	0	0	2	7
ATM	ENSG00000149311	ENST00000529588	nonsense_mediated_decay	1	0	1	21	2	0	0	9	0	8	1	0	0	0	0	0	0	1	0	0	0	2
ATM	ENSG00000149311	ENST00000530958	retained_intron	2	0	0	24	0	0	0	0	0	7	0	12	0	0	0	2	0	0	0	0	0	7
ATM	ENSG00000149311	ENST00000531525	protein_coding	1	1	5	22	2	0	0	6	0	11	5	0	0	0	1	0	0	0	0	0	1	4
ATM	ENSG00000149311	ENST00000531957	retained_intron	0	0	0	25	0	0	0	6	0	1	0	2	0	0	0	0	0	0	0	0	0	16
ATM	ENSG00000149311	ENST00000532765	processed_transcript	1	0	0	22	0	0	0	5	0	8	0	4	0	0	0	1	0	0	0	0	0	6
ATM	ENSG00000149311	ENST00000532931	protein_coding	1	1	3	20	0	0	0	4	0	10	3	0	0	0	0	1	0	0	0	0	1	7
ATM	ENSG00000149311	ENST00000533526	processed_transcript	0	0	0	26	0	0	0	11	0	0	0	2	0	0	0	0	0	0	0	0	0	13
ATM	ENSG00000149311	ENST00000533690	retained_intron	1	1	0	72	0	0	0	11	0	34	0	22	0	0	0	1	1	0	0	0	0	7
ATM	ENSG00000149311	ENST00000533733	retained_intron	1	0	0	22	0	0	0	7	0	6	0	6	0	0	1	0	0	0	0	0	0	4
ATM	ENSG00000149311	ENST00000533979	processed_transcript	0	0	0	29	0	0	0	0	0	8	0	4	0	0	0	0	0	0	0	0	0	17
ATM	ENSG00000149311	ENST00000534625	retained_intron	0	0	0	15	0	0	0	6	0	1	0	1	0	0	0	0	0	0	0	0	0	7
ATM	ENSG00000149311	ENST00000601453	protein_coding	2	2	3	19	0	0	0	1	0	7	3	0	0	0	0	2	0	0	0	0	2	13
BCRP2	ENSG00000169668	ENST00000461808	processed_transcript	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
BLNK	ENSG00000095585	ENST00000224337	protein_coding	0	21	8	39	1	1	3	0	0	22	8	0	0	17	0	0	3	0	0	0	3	13
BLNK	ENSG00000095585	ENST00000371176	protein_coding	0	7	8	39	1	1	3	0	0	22	8	0	0	3	0	0	3	0	0	0	3	13
BLNK	ENSG00000095585	ENST00000413476	protein_coding	0	18	8	39	1	1	3	0	0	22	8	0	0	14	0	0	3	0	0	0	3	13
BLNK	ENSG00000095585	ENST00000427367	protein_coding	0	4	8	39	1	1	3	0	0	22	8	0	0	0	0	0	3	0	0	0	3	13
BLNK	ENSG00000095585	ENST00000467799	nonsense_mediated_decay	0	4	3	40	3	1	3	3	0	18	3	0	0	0	0	0	2	0	0	0	2	13
BLNK	ENSG00000095585	ENST00000468252	retained_intron	0	1	0	8	0	0	0	4	0	3	0	1	0	0	0	0	1	0	0	0	0	1
BLNK	ENSG00000095585	ENST00000472763	retained_intron	0	0	0	17	0	0	0	4	0	4	0	3	0	0	0	0	0	0	0	0	0	6
BLNK	ENSG00000095585	ENST00000485193	retained_intron	0	0	0	9	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	4
BLNK	ENSG00000095585	ENST00000495266	protein_coding	0	1	1	18	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	16
BOLA2B	ENSG00000169627	ENST00000305321	protein_coding	0	0	0	20	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOLA2B	ENSG00000169627	ENST00000565525	retained_intron	0	0	0	20	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOLA2B	ENSG00000169627	ENST00000567436	protein_coding	0	0	0	20	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BOLA2B	ENSG00000169627	ENST00000569282	protein_coding	0	0	0	20	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTK	ENSG00000010671	ENST00000308731	protein_coding	12	68	12	40	2	1	4	0	0	28	12	0	11	64	0	1	2	0	0	0	2	8
BTK	ENSG00000010671	ENST00000372880	protein_coding	1	4	11	41	2	1	3	0	0	29	11	0	0	0	0	1	2	0	0	0	2	9
BTK	ENSG00000010671	ENST00000464006	processed_transcript	0	0	0	14	0	0	0	7	0	1	0	3	0	0	0	0	0	0	0	0	0	3
BTK	ENSG00000010671	ENST00000464567	processed_transcript	0	0	0	28	0	0	0	7	0	3	0	7	0	0	0	0	0	0	0	0	0	11
BTK	ENSG00000010671	ENST00000470069	processed_transcript	0	0	0	15	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	10
BTK	ENSG00000010671	ENST00000470329	retained_intron	0	0	0	25	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	14
BTK	ENSG00000010671	ENST00000478995	retained_intron	0	0	0	16	0	0	0	5	0	4	0	1	0	0	0	0	0	0	0	0	0	6
BTK	ENSG00000010671	ENST00000488970	processed_transcript	0	0	0	15	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	8
C11orf65	ENSG00000166323	ENST00000524755	protein_coding	0	2	0	52	2	0	0	8	0	42	0	0	0	0	0	0	0	0	0	1	1	0
C11orf65	ENSG00000166323	ENST00000525729	protein_coding	0	0	0	84	0	0	0	9	0	75	0	0	0	0	0	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000526725	processed_transcript	0	0	0	29	0	0	0	5	0	24	0	0	0	0	0	0	0	0	0	0	0	0
C11orf65	ENSG00000166323	ENST00000527531	nonsense_mediated_decay	0	0	0	55	5	0	0	9	0	41	0	0	0	0	0	0	0	0	0	0	0	0
C11orf74	ENSG00000166352	ENST00000334307	protein_coding	0	0	0	31	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	16
C11orf74	ENSG00000166352	ENST00000347206	protein_coding	0	0	0	31	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	16
C11orf74	ENSG00000166352	ENST00000446510	protein_coding	0	0	0	31	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	16
C11orf74	ENSG00000166352	ENST00000524539	retained_intron	0	0	0	31	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	16
C11orf74	ENSG00000166352	ENST00000527108	protein_coding	0	0	0	31	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	16
C11orf74	ENSG00000166352	ENST00000528092	nonsense_mediated_decay	0	0	0	31	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	16
C11orf74	ENSG00000166352	ENST00000530697	protein_coding	0	0	0	31	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	16
C11orf74	ENSG00000166352	ENST00000531554	protein_coding	0	0	0	31	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	16
C11orf74	ENSG00000166352	ENST00000532470	protein_coding	0	0	0	31	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	16
C11orf74	ENSG00000166352	ENST00000534635	protein_coding	0	0	0	31	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	16
C9orf66	ENSG00000183784	ENST00000382387	protein_coding	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CCDC107	ENSG00000159884	ENST00000327351	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
CCDC107	ENSG00000159884	ENST00000378406	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
CCDC107	ENSG00000159884	ENST00000378407	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
CCDC107	ENSG00000159884	ENST00000378409	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
CCDC107	ENSG00000159884	ENST00000421582	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
CCDC107	ENSG00000159884	ENST00000426546	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
CD247	ENSG00000198821	ENST00000362089	protein_coding	0	40	2	37	0	0	1	0	0	18	2	0	0	36	0	0	4	0	0	0	2	20
CD247	ENSG00000198821	ENST00000392122	protein_coding	0	19	2	37	0	0	1	0	0	18	2	0	0	15	0	0	4	0	0	0	2	20
CD247	ENSG00000198821	ENST00000470379	processed_transcript	0	2	0	20	0	0	0	0	0	10	0	5	0	0	0	0	2	0	0	0	0	7
CD247	ENSG00000198821	ENST00000476733	processed_transcript	0	2	0	20	0	0	0	0	0	10	0	5	0	0	0	0	2	0	0	0	0	7
CD247	ENSG00000198821	ENST00000479979	processed_transcript	0	1	0	36	0	0	0	9	0	5	0	3	0	0	0	0	1	0	0	0	0	20
CD247	ENSG00000198821	ENST00000483825	processed_transcript	0	4	0	39	0	0	0	0	0	16	0	7	0	0	0	0	4	0	0	0	0	20
CD247	ENSG00000198821	ENST00000485089	processed_transcript	0	2	0	9	0	0	0	0	0	3	0	1	0	0	0	0	2	0	0	0	0	7
CD3D	ENSG00000167286	ENST00000300692	protein_coding	0	19	4	19	0	0	0	0	0	12	4	0	0	19	0	0	0	0	0	0	0	7
CD3D	ENSG00000167286	ENST00000392884	protein_coding	0	4	3	20	0	0	0	0	0	13	3	0	0	4	0	0	0	0	0	0	0	7
CD3D	ENSG00000167286	ENST00000526561	retained_intron	0	0	0	23	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	7
CD3D	ENSG00000167286	ENST00000529594	protein_coding	0	0	1	22	0	0	0	0	0	15	1	0	0	0	0	0	0	0	0	0	0	7
CD3D	ENSG00000167286	ENST00000534687	protein_coding	0	0	3	20	0	0	0	0	0	13	3	0	0	0	0	0	0	0	0	0	0	7
CD3E	ENSG00000198851	ENST00000361763	protein_coding	1	43	4	33	2	1	7	0	0	13	4	0	0	38	0	0	1	1	0	0	4	11
CD3E	ENSG00000198851	ENST00000526146	retained_intron	0	0	0	42	0	0	0	0	0	8	0	20	0	0	0	0	0	0	0	0	0	14
CD3E	ENSG00000198851	ENST00000528435	retained_intron	0	0	0	42	0	0	0	4	0	11	0	13	0	0	0	0	0	0	0	0	0	14
CD3E	ENSG00000198851	ENST00000528600	protein_coding	1	4	3	34	2	0	2	0	0	13	3	0	0	0	0	0	0	1	0	0	4	17
CD3E	ENSG00000198851	ENST00000529713	retained_intron	0	1	0	41	0	0	0	7	0	8	0	13	0	0	0	0	1	0	0	0	0	14
CD3E	ENSG00000198851	ENST00000531913	retained_intron	0	0	0	19	0	0	0	0	0	5	0	10	0	0	0	0	0	0	0	0	0	4
CD3G	ENSG00000160654	ENST00000292144	nonsense_mediated_decay	0	4	1	39	3	0	0	0	0	18	1	0	0	0	0	0	4	0	0	0	0	21
CD3G	ENSG00000160654	ENST00000392883	protein_coding	0	5	1	39	0	1	1	0	0	20	1	0	0	0	0	0	5	0	0	0	0	21
CD3G	ENSG00000160654	ENST00000527777	retained_intron	0	2	0	41	0	0	0	10	0	6	0	6	0	0	0	0	2	0	0	0	0	21
CD3G	ENSG00000160654	ENST00000528540	processed_transcript	0	2	0	41	0	0	0	19	0	2	0	1	0	0	0	0	2	0	0	0	0	21
CD3G	ENSG00000160654	ENST00000532903	processed_transcript	0	5	0	38	0	0	0	0	0	18	0	4	0	0	0	0	5	0	0	0	0	21
CD3G	ENSG00000160654	ENST00000532917	protein_coding	1	27	4	36	0	0	0	0	0	18	3	0	0	25	0	0	5	1	0	0	0	21
CD3G	ENSG00000160654	ENST00000533462	retained_intron	0	1	0	42	0	0	0	17	0	2	0	3	0	0	0	0	1	0	0	0	0	21
CD40LG	ENSG00000102245	ENST00000370628	protein_coding	0	6	2	12	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	6	5
CD40LG	ENSG00000102245	ENST00000370629	protein_coding	0	24	2	12	0	0	0	0	0	7	2	0	0	18	0	0	0	0	0	0	6	5
CHD7	ENSG00000171316	ENST00000423902	protein_coding	8	84	56	54	1	1	8	0	0	52	55	0	0	55	0	2	8	6	0	0	22	2
CHD7	ENSG00000171316	ENST00000524602	protein_coding	1	18	20	115	1	1	3	0	0	108	20	0	0	12	0	0	0	1	0	0	5	3
CHD7	ENSG00000171316	ENST00000525508	protein_coding	1	33	22	19	2	0	0	3	0	10	22	0	0	22	0	0	2	1	0	0	9	6
CHD7	ENSG00000171316	ENST00000526846	protein_coding	0	1	1	29	0	1	5	18	0	1	1	0	0	0	0	0	0	0	0	0	0	5
CHD7	ENSG00000171316	ENST00000527825	nonsense_mediated_decay	0	0	0	28	1	0	0	3	0	14	0	0	0	0	0	0	0	0	0	0	0	10
CHD7	ENSG00000171316	ENST00000527900	nonsense_mediated_decay	0	1	0	30	1	0	0	1	0	4	0	0	0	0	0	0	1	0	0	0	0	25
CHD7	ENSG00000171316	ENST00000527921	processed_transcript	0	1	0	43	0	0	0	30	0	6	0	4	0	0	0	0	1	0	0	0	0	4
CHD7	ENSG00000171316	ENST00000528280	retained_intron	0	0	0	22	0	0	0	2	0	2	0	5	0	0	0	0	0	0	0	0	0	13
CHD7	ENSG00000171316	ENST00000529472	processed_transcript	0	0	0	49	0	0	0	10	0	5	0	8	0	0	0	0	0	0	0	0	0	26
CHD7	ENSG00000171316	ENST00000531695	retained_intron	0	0	0	57	0	0	0	13	0	1	0	9	0	0	0	0	0	0	0	0	0	34
CHD7	ENSG00000171316	ENST00000532149	retained_intron	0	0	0	23	0	0	0	5	0	5	0	3	0	0	0	0	0	0	0	0	0	10
CORO1A	ENSG00000102879	ENST00000219150	protein_coding	1	5	5	25	1	1	3	7	0	12	5	0	0	0	0	0	1	1	0	0	4	2
CORO1A	ENSG00000102879	ENST00000561815	protein_coding	1	3	1	30	0	0	0	24	0	5	1	0	0	0	0	0	1	1	0	0	3	1
CORO1A	ENSG00000102879	ENST00000561849	retained_intron	0	0	0	35	0	0	0	28	0	0	0	1	0	0	0	0	0	0	0	0	0	6
CORO1A	ENSG00000102879	ENST00000562129	retained_intron	0	0	0	33	0	0	0	13	0	3	0	4	0	0	0	0	0	0	0	0	0	13
CORO1A	ENSG00000102879	ENST00000563778	protein_coding	1	2	2	30	0	0	1	20	0	9	2	0	0	0	0	0	1	1	0	0	2	0
CORO1A	ENSG00000102879	ENST00000564446	processed_transcript	0	0	0	35	0	0	0	29	0	3	0	1	0	0	0	0	0	0	0	0	0	2
CORO1A	ENSG00000102879	ENST00000564768	retained_intron	0	0	0	35	0	0	0	7	0	3	0	18	0	0	0	0	0	0	0	0	0	7
CORO1A	ENSG00000102879	ENST00000565497	protein_coding	1	4	4	27	1	1	3	7	0	14	4	0	0	0	0	0	1	1	0	0	3	2
CORO1A	ENSG00000102879	ENST00000566619	processed_transcript	0	0	0	35	0	0	0	28	0	1	0	4	0	0	0	0	0	0	0	0	0	2
CORO1A	ENSG00000102879	ENST00000567034	retained_intron	0	1	0	34	0	0	0	7	0	4	0	17	0	0	0	0	1	0	0	0	0	7
CORO1A	ENSG00000102879	ENST00000568763	retained_intron	0	1	0	34	0	0	0	7	0	12	0	14	0	0	0	0	1	0	0	0	0	2
CORO1A	ENSG00000102879	ENST00000568982	retained_intron	0	1	0	34	0	0	0	24	0	2	0	7	0	0	0	0	1	0	0	0	0	2
CORO1A	ENSG00000102879	ENST00000569203	protein_coding	1	2	1	31	0	0	0	24	0	1	1	0	0	0	0	0	1	1	0	0	2	6
CORO1A	ENSG00000102879	ENST00000569469	processed_transcript	0	0	0	35	0	0	0	24	0	5	0	4	0	0	0	0	0	0	0	0	0	2
CORO1A	ENSG00000102879	ENST00000569970	protein_coding	1	2	1	31	0	0	0	24	0	1	1	0	0	0	0	0	1	1	0	0	2	6
CORO1A	ENSG00000102879	ENST00000570045	protein_coding	1	20	5	25	0	1	3	8	0	12	5	0	0	15	0	0	1	1	0	0	4	2
CORO1A	ENSG00000102879	ENST00000570244	protein_coding	1	3	2	30	0	1	3	20	0	5	2	0	0	0	0	0	1	1	0	0	2	2
CTD-2350C19.1	ENSG00000264098	ENST00000583956	antisense	0	0	0	28	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	10
CTD-2350C19.2	ENSG00000265254	ENST00000580714	antisense	0	1	0	21	0	0	0	5	0	4	0	7	0	0	0	0	1	0	0	0	0	6
CTD-2555O16.2	ENSG00000258824	ENST00000556640	antisense	0	0	0	61	0	0	0	6	0	47	0	5	0	0	0	0	0	0	0	0	0	3
CTD-2555O16.3	ENSG00000272828	ENST00000608003	lincRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CTD-2555O16.4	ENSG00000272909	ENST00000609125	antisense	0	0	0	26	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	10
CXorf65	ENSG00000204165	ENST00000374251	protein_coding	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
CXorf65	ENSG00000204165	ENST00000438526	nonsense_mediated_decay	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
CXorf65	ENSG00000204165	ENST00000466160	retained_intron	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
CXorf65	ENSG00000204165	ENST00000483257	retained_intron	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
